filename,faces
204.jpeg,0
168.jpeg,3
199.jpeg,0
129.jpeg,0
208.jpeg,1
152.jpeg,1
193.jpeg,4
184.jpeg,0
119.jpeg,2
159.jpeg,0
157.jpeg,6
120.jpeg,0
179.jpeg,0
116.jpeg,2
113.jpeg,0
170.jpeg,1
165.jpeg,0
175.jpeg,2
122.jpeg,0
190.jpeg,2
172.jpeg,0
137.jpeg,3
146.jpeg,1
153.jpeg,0
202.jpeg,0
196.jpeg,2
132.jpeg,1
144.jpeg,2
150.jpeg,2
167.jpeg,0
158.jpeg,4
121.jpeg,0
188.jpeg,1
145.jpeg,2
201.jpeg,5
203.jpeg,2
164.jpeg,2
139.jpeg,2
123.jpeg,5
187.jpeg,3
194.jpeg,0
130.jpeg,0
213.jpeg,0
108.jpeg,1
214.jpeg,0
195.jpeg,3
155.jpeg,2
160.jpeg,1
115.jpeg,0
174.jpeg,1
133.jpeg,0
181.jpeg,2
148.jpeg,0
183.jpeg,1
154.jpeg,2
191.jpeg,0
211.jpeg,1
206.jpeg,0
198.jpeg,0
207.jpeg,0
163.jpeg,0
166.jpeg,2
205.jpeg,5
135.jpeg,0
134.jpeg,0
131.jpeg,1
173.jpeg,0
126.jpeg,0
209.jpeg,3
200.jpeg,3
180.jpeg,4
162.jpeg,0
185.jpeg,0
110.jpeg,0
171.jpeg,0
138.jpeg,3
178.jpeg,0
197.jpeg,1
143.jpeg,0
125.jpeg,0
156.jpeg,2
141.jpeg,1
117.jpeg,2
151.jpeg,0
182.jpeg,5
161.jpeg,2
112.jpeg,0
212.jpeg,2
140.jpeg,5
192.jpeg,0
128.jpeg,1
177.jpeg,3
169.jpeg,0
111.jpeg,3
186.jpeg,1
147.jpeg,0
127.jpeg,1
124.jpeg,3
210.jpeg,5
142.jpeg,1
114.jpeg,0
118.jpeg,5
136.jpeg,5
109.jpeg,4
189.jpeg,0
176.jpeg,1
149.jpeg,1
Total,150
